DateTime,Open,High,Low,Close,Volume
2023-09-29 14:30:00,33886.2,33894.2,33806.7,33806.7,4207
2023-09-29 14:31:00,33807.2,33844.7,33807.2,33816.7,2896
2023-09-29 14:32:00,33817.7,33828.7,33799.7,33817.7,2276
2023-09-29 14:33:00,33817.2,33831.2,33790.7,33793.7,1534
2023-09-29 14:34:00,33792.7,33800.7,33773.7,33789.7,1635
2023-09-29 14:35:00,33788.7,33808.7,33788.7,33801.7,1267
2023-09-29 14:36:00,33804.2,33822.7,33796.7,33799.2,1315
2023-09-29 14:37:00,33798.2,33824.2,33792.7,33823.7,892
2023-09-29 14:38:00,33823.2,33829.7,33809.7,33814.2,1043
2023-09-29 14:39:00,33813.7,33827.7,33807.7,33812.2,668
2023-09-29 14:40:00,33811.7,33821.2,33773.7,33773.7,1357
2023-09-29 14:41:00,33774.2,33787.7,33765.2,33787.7,644
2023-09-29 14:42:00,33787.2,33800.2,33773.7,33780.7,912
2023-09-29 14:43:00,33780.2,33791.7,33772.7,33784.2,739
2023-09-29 14:44:00,33782.7,33783.7,33767.7,33778.2,403
2023-09-29 14:45:00,33778.7,33786.2,33760.2,33768.2,849
2023-09-29 14:46:00,33767.2,33767.2,33733.7,33733.7,858
2023-09-29 14:47:00,33734.2,33754.2,33724.7,33725.7,910
2023-09-29 14:48:00,33725.2,33749.7,33722.7,33726.2,1266
2023-09-29 14:49:00,33726.7,33737.7,33720.7,33728.2,757
2023-09-29 14:50:00,33728.7,33735.2,33719.7,33726.2,777
2023-09-29 14:51:00,33726.7,33741.7,33718.7,33731.7,575
2023-09-29 14:52:00,33731.2,33745.7,33722.2,33735.7,601
2023-09-29 14:53:00,33735.2,33747.2,33734.7,33739.7,407
2023-09-29 14:54:00,33740.2,33748.2,33732.2,33739.2,783
2023-09-29 14:55:00,33739.7,33763.7,33739.2,33759.2,789
2023-09-29 14:56:00,33759.7,33768.7,33750.2,33762.7,525
2023-09-29 14:57:00,33763.2,33773.7,33759.2,33763.2,430
2023-09-29 14:58:00,33763.7,33775.7,33761.2,33769.2,380
2023-09-29 14:59:00,33768.7,33774.7,33761.2,33761.7,309
2023-09-29 15:00:00,33767.7,33788.7,33767.7,33786.2,927
2023-09-29 15:01:00,33786.7,33787.2,33768.2,33771.2,634
2023-09-29 15:02:00,33771.7,33782.2,33769.2,33772.7,668
2023-09-29 15:03:00,33773.2,33775.7,33760.2,33766.7,787
2023-09-29 15:04:00,33767.2,33777.7,33762.7,33769.7,693
2023-09-29 15:05:00,33770.2,33770.7,33755.2,33768.7,677
2023-09-29 15:06:00,33769.2,33774.7,33758.7,33761.2,784
2023-09-29 15:07:00,33762.2,33762.2,33740.7,33750.7,832
2023-09-29 15:08:00,33751.2,33754.7,33744.7,33752.7,543
2023-09-29 15:09:00,33753.2,33759.2,33742.7,33751.2,534
2023-09-29 15:10:00,33750.7,33763.7,33749.7,33762.7,591
2023-09-29 15:11:00,33762.2,33766.7,33750.2,33751.7,558
2023-09-29 15:12:00,33751.2,33753.7,33737.7,33753.2,640
2023-09-29 15:13:00,33753.7,33757.7,33718.2,33720.2,1086
2023-09-29 15:14:00,33720.7,33726.7,33714.7,33723.7,616
2023-09-29 15:15:00,33723.2,33727.2,33715.7,33722.2,462
2023-09-29 15:16:00,33722.7,33725.7,33712.2,33713.2,368
2023-09-29 15:17:00,33712.7,33721.7,33703.2,33721.7,560
