DateTime,Open,High,Low,Close
2024-07-24 12:31:00.000,40215.5,40218.0,40209.5,40212.0
2024-07-24 12:32:00.000,40212.5,40213.0,40202.0,40203.0
2024-07-24 12:33:00.000,40202.5,40205.0,40200.0,40204.0
2024-07-24 12:34:00.000,40206.0,40209.0,40200.5,40203.0
2024-07-24 12:35:00.000,40203.5,40207.0,40202.0,40206.5
2024-07-24 12:36:00.000,40207.0,40207.0,40202.0,40202.0
2024-07-24 12:37:00.000,40202.5,40206.0,40199.5,40201.0
2024-07-24 12:38:00.000,40200.5,40205.0,40198.0,40200.0
2024-07-24 12:39:00.000,40200.5,40204.5,40199.5,40204.0
2024-07-24 12:40:00.000,40203.5,40203.5,40198.0,40199.0
2024-07-24 12:41:00.000,40198.5,40200.5,40195.0,40195.0
2024-07-24 12:42:00.000,40194.5,40200.0,40194.0,40199.0
2024-07-24 12:43:00.000,40199.5,40206.0,40199.0,40205.0
2024-07-24 12:44:00.000,40204.5,40207.0,40202.0,40202.0
2024-07-24 12:45:00.000,40202.5,40211.0,40202.0,40209.5
2024-07-24 12:46:00.000,40207.0,40207.5,40193.0,40193.5
2024-07-24 12:47:00.000,40194.0,40195.0,40187.5,40192.0
2024-07-24 12:48:00.000,40193.0,40193.5,40189.0,40190.5
2024-07-24 12:49:00.000,40191.0,40193.5,40188.0,40193.0
2024-07-24 12:50:00.000,40193.5,40197.0,40189.0,40193.0
2024-07-24 12:51:00.000,40192.5,40192.5,40186.0,40192.0
2024-07-24 12:52:00.000,40191.5,40194.0,40190.0,40192.0
2024-07-24 12:53:00.000,40192.5,40194.5,40190.0,40193.0
2024-07-24 12:54:00.000,40192.5,40198.0,40191.0,40197.0
2024-07-24 12:55:00.000,40198.0,40198.0,40191.5,40194.0
2024-07-24 12:56:00.000,40193.5,40199.5,40192.0,40198.0
2024-07-24 12:57:00.000,40197.5,40198.5,40195.0,40196.0
2024-07-24 12:58:00.000,40196.5,40197.5,40193.0,40195.0
2024-07-24 12:59:00.000,40195.5,40198.5,40194.0,40195.0
2024-07-24 13:00:00.000,40195.5,40202.0,40193.5,40197.0
2024-07-24 13:01:00.000,40198.0,40198.0,40193.5,40196.0
2024-07-24 13:02:00.000,40196.5,40202.0,40194.0,40197.0
2024-07-24 13:03:00.000,40196.5,40201.0,40196.0,40201.0
2024-07-24 13:04:00.000,40201.5,40203.5,40197.5,40198.0
2024-07-24 13:05:00.000,40197.5,40202.0,40195.0,40202.0
2024-07-24 13:06:00.000,40202.5,40210.0,40202.5,40208.0
2024-07-24 13:07:00.000,40208.5,40209.5,40193.0,40193.0
2024-07-24 13:08:00.000,40192.5,40194.0,40187.0,40188.0
2024-07-24 13:09:00.000,40187.5,40189.5,40182.5,40188.0
2024-07-24 13:10:00.000,40188.5,40189.0,40181.0,40182.0
2024-07-24 13:11:00.000,40182.5,40185.0,40179.5,40183.0
2024-07-24 13:12:00.000,40183.5,40184.0,40178.5,40179.5
2024-07-24 13:13:00.000,40180.0,40182.5,40178.0,40178.0
2024-07-24 13:14:00.000,40177.5,40187.5,40177.5,40187.0
