DateTime,Open,Close,High,Low,Volume
2023-05-12 14:30:00,33418.8,33399.3,33419.1,33391.3,1624
2023-05-12 14:31:00,33399.8,33382.8,33404.3,33378.8,1413
2023-05-12 14:32:00,33383.8,33395.3,33399.3,33366.3,1442
2023-05-12 14:33:00,33394.8,33373.3,33396.3,33370.3,678
2023-05-12 14:34:00,33372.8,33364.3,33373.3,33356.3,648
2023-05-12 14:35:00,33363.8,33369.3,33382.3,33363.8,664
2023-05-12 14:36:00,33367.8,33374.8,33378.3,33356.3,463
2023-05-12 14:37:00,33374.3,33386.3,33388.3,33373.3,442
2023-05-12 14:38:00,33387.3,33387.3,33401.3,33380.3,383
2023-05-12 14:39:00,33384.8,33388.3,33394.3,33382.3,265
2023-05-12 14:40:00,33387.8,33387.8,33397.3,33383.3,279
2023-05-12 14:41:00,33388.3,33397.3,33408.3,33386.8,464
2023-05-12 14:42:00,33396.8,33387.3,33396.8,33385.3,255
2023-05-12 14:43:00,33387.8,33397.3,33402.8,33386.8,414
2023-05-12 14:44:00,33396.8,33392.3,33398.3,33378.3,331
2023-05-12 14:45:00,33392.8,33392.3,33401.8,33391.8,395
2023-05-12 14:46:00,33390.8,33379.3,33390.8,33375.3,461
2023-05-12 14:47:00,33378.3,33358.3,33382.3,33356.8,482
2023-05-12 14:48:00,33358.8,33337.8,33358.8,33335.3,852
2023-05-12 14:49:00,33337.3,33322.8,33340.8,33307.8,942
2023-05-12 14:50:00,33322.3,33334.8,33341.8,33314.3,703
2023-05-12 14:51:00,33335.3,33352.8,33359.3,33334.8,423
2023-05-12 14:52:00,33353.8,33364.8,33374.3,33353.3,408
2023-05-12 14:53:00,33365.3,33366.8,33378.3,33363.8,328
2023-05-12 14:54:00,33367.3,33367.8,33378.3,33364.3,354
2023-05-12 14:55:00,33368.3,33370.8,33383.3,33367.8,253
2023-05-12 14:56:00,33370.3,33359.8,33374.8,33359.8,319
2023-05-12 14:57:00,33360.3,33365.8,33370.8,33357.8,177
2023-05-12 14:58:00,33365.3,33366.8,33370.8,33361.8,107
2023-05-12 14:59:00,33366.3,33365.3,33371.8,33365.3,110
2023-05-12 15:00:00,33336.8,33342.8,33359.8,33323.8,891
2023-05-12 15:01:00,33342.3,33316.3,33343.8,33307.8,976
2023-05-12 15:02:00,33315.8,33330.3,33345.3,33314.3,760
2023-05-12 15:03:00,33330.8,33327.8,33344.8,33322.8,604
2023-05-12 15:04:00,33326.3,33315.3,33335.3,33308.8,802
2023-05-12 15:05:00,33314.8,33311.8,33330.3,33308.3,443
2023-05-12 15:06:00,33312.8,33310.3,33312.8,33301.8,600
2023-05-12 15:07:00,33310.8,33305.8,33317.8,33294.3,487
2023-05-12 15:08:00,33306.3,33321.3,33323.3,33300.8,327
2023-05-12 15:09:00,33320.8,33329.3,33331.8,33312.8,333
2023-05-12 15:10:00,33328.8,33332.8,33336.8,33322.8,281
2023-05-12 15:11:00,33334.3,33342.3,33356.3,33334.3,426
2023-05-12 15:12:00,33342.8,33342.3,33347.8,33337.8,200
2023-05-12 15:13:00,33342.8,33333.3,33346.3,33333.3,158
2023-05-12 15:14:00,33333.8,33331.8,33339.3,33327.8,207
2023-05-12 15:15:00,33331.3,33333.3,33337.3,33320.8,295
2023-05-12 15:16:00,33333.8,33320.8,33336.8,33318.8,167
2023-05-12 15:17:00,33321.3,33333.8,33338.8,33318.3,202
2023-05-12 15:18:00,33334.8,33335.3,33343.8,33330.8,189
2023-05-12 15:19:00,33334.8,33346.8,33349.8,33332.3,208
2023-05-12 15:20:00,33347.3,33335.3,33349.8,33332.3,189
2023-05-12 15:21:00,33335.8,33339.8,33349.3,33333.3,163
2023-05-12 15:22:00,33340.3,33354.8,33357.3,33337.3,212
2023-05-12 15:23:00,33355.3,33350.3,33356.3,33344.3,154
2023-05-12 15:24:00,33349.8,33352.3,33356.3,33343.3,175
2023-05-12 15:25:00,33353.8,33335.8,33356.3,33331.8,190
2023-05-12 15:26:00,33335.3,33346.3,33351.3,33334.8,289
2023-05-12 15:27:00,33345.8,33339.3,33346.3,33334.3,160
2023-05-12 15:28:00,33339.8,33340.3,33344.3,33334.3,117
2023-05-12 15:29:00,33340.8,33327.8,33340.8,33324.3,333
2023-05-12 15:30:00,33327.3,33315.3,33328.3,33306.3,819
2023-05-12 15:31:00,33316.3,33317.3,33322.3,33310.3,359
2023-05-12 15:32:00,33317.8,33313.8,33317.8,33303.8,430
2023-05-12 15:33:00,33313.3,33318.3,33326.8,33312.3,235
2023-05-12 15:34:00,33317.8,33310.8,33317.8,33308.3,280
2023-05-12 15:35:00,33310.3,33298.8,33314.3,33298.3,322
2023-05-12 15:36:00,33299.3,33284.3,33299.8,33281.3,767
2023-05-12 15:37:00,33283.8,33285.8,33286.8,33272.3,553
2023-05-12 15:38:00,33286.3,33292.8,33299.8,33279.3,583
2023-05-12 15:39:00,33293.3,33297.3,33305.8,33292.8,366
2023-05-12 15:40:00,33296.8,33295.8,33300.3,33287.3,220
2023-05-12 15:41:00,33295.3,33297.3,33301.3,33291.8,194
2023-05-12 15:42:00,33296.8,33297.3,33306.3,33294.3,179
2023-05-12 15:43:00,33299.3,33311.8,33315.8,33295.3,262
2023-05-12 15:44:00,33311.3,33306.3,33312.3,33297.3,213
2023-05-12 15:45:00,33305.3,33307.3,33309.3,33301.3,168
2023-05-12 15:46:00,33306.3,33293.3,33306.3,33291.3,205
2023-05-12 15:47:00,33294.3,33291.3,33294.3,33282.3,334
2023-05-12 15:48:00,33293.3,33288.3,33300.3,33281.3,339
2023-05-12 15:49:00,33288.8,33288.3,33293.3,33283.8,174
2023-05-12 15:50:00,33287.8,33279.3,33289.8,33273.3,319
2023-05-12 15:51:00,33276.8,33282.3,33283.3,33273.3,237
2023-05-12 15:52:00,33281.8,33266.8,33282.3,33266.3,241
2023-05-12 15:53:00,33266.3,33266.3,33267.8,33256.8,363
2023-05-12 15:54:00,33265.8,33264.3,33266.3,33256.3,265
2023-05-12 15:55:00,33263.8,33268.8,33270.3,33260.3,186
2023-05-12 15:56:00,33269.3,33271.3,33273.8,33262.8,153
2023-05-12 15:57:00,33270.8,33281.3,33281.3,33269.8,258
2023-05-12 15:58:00,33281.8,33270.3,33281.8,33268.3,218
2023-05-12 15:59:00,33269.8,33276.8,33278.3,33266.3,217
2023-05-12 16:00:00,33277.3,33277.8,33288.3,33273.3,387
2023-05-12 16:01:00,33277.3,33279.3,33292.3,33277.3,271
2023-05-12 16:02:00,33279.8,33269.3,33282.8,33266.3,191
2023-05-12 16:03:00,33269.8,33273.3,33275.3,33265.3,228
2023-05-12 16:04:00,33273.8,33285.3,33288.3,33273.3,269
2023-05-12 16:05:00,33284.8,33299.3,33302.8,33278.3,374
2023-05-12 16:06:00,33298.8,33303.8,33306.3,33293.3,337
