DateTime,Open,High,Low,Close,Volume
2023-11-06 14:30:00,34083.0,34163.5,34082.5,34163.5,2343
2023-11-06 14:31:00,34163.0,34163.5,34142.0,34151.5,1170
2023-11-06 14:32:00,34151.0,34159.0,34125.5,34132.0,930
2023-11-06 14:33:00,34132.5,34151.0,34122.0,34146.0,771
2023-11-06 14:34:00,34145.5,34152.0,34134.0,34149.0,430
2023-11-06 14:35:00,34149.5,34150.5,34124.0,34131.0,580
2023-11-06 14:36:00,34130.5,34131.5,34109.0,34110.0,894
2023-11-06 14:37:00,34109.5,34127.5,34104.5,34127.5,601
2023-11-06 14:38:00,34128.0,34132.5,34106.5,34129.5,694
2023-11-06 14:39:00,34128.5,34132.0,34113.5,34118.0,418
2023-11-06 14:40:00,34118.5,34121.5,34091.5,34101.5,630
2023-11-06 14:41:00,34102.0,34110.5,34091.5,34102.5,573
2023-11-06 14:42:00,34102.0,34102.0,34090.5,34096.5,500
2023-11-06 14:43:00,34097.0,34100.5,34082.5,34089.0,365
2023-11-06 14:44:00,34089.5,34111.5,34085.0,34102.5,872
2023-11-06 14:45:00,34103.0,34112.5,34082.5,34084.0,573
2023-11-06 14:46:00,34083.5,34089.5,34070.5,34087.0,632
2023-11-06 14:47:00,34086.5,34086.5,34065.0,34067.0,525
2023-11-06 14:48:00,34066.5,34072.5,34057.5,34060.5,603
2023-11-06 14:49:00,34061.0,34069.5,34059.0,34069.0,371
2023-11-06 14:50:00,34068.600000000006,34076.100000000006,34060.600000000006,34067.600000000006,471
2023-11-06 14:51:00,34068.100000000006,34072.600000000006,34064.100000000006,34066.100000000006,263
2023-11-06 14:52:00,34066.600000000006,34070.100000000006,34057.100000000006,34059.100000000006,297
2023-11-06 14:53:00,34058.600000000006,34076.600000000006,34057.600000000006,34070.100000000006,419
2023-11-06 14:54:00,34070.600000000006,34081.100000000006,34066.100000000006,34079.600000000006,299
2023-11-06 14:55:00,34080.100000000006,34084.100000000006,34076.600000000006,34077.600000000006,338
2023-11-06 14:56:00,34077.100000000006,34081.600000000006,34060.600000000006,34063.600000000006,434
2023-11-06 14:57:00,34063.100000000006,34076.600000000006,34062.600000000006,34063.100000000006,413
2023-11-06 14:58:00,34063.600000000006,34073.100000000006,34061.100000000006,34063.100000000006,294
