DateTime,snapshotTimeUTC,Open,Close,High,Low,lastTradedVolume
2023-09-05 00:00:00,2023-09-04T23:00:00,34813.2,34812.2,34816.7,34811.7,38
2023-09-05 00:05:00,2023-09-04T23:05:00,34811.7,34815.2,34815.2,34811.2,25
2023-09-05 00:10:00,2023-09-04T23:10:00,34814.7,34815.2,34816.7,34814.2,27
2023-09-05 00:15:00,2023-09-04T23:15:00,34814.7,34817.7,34818.7,34814.2,46
2023-09-05 00:20:00,2023-09-04T23:20:00,34818.7,34818.7,34818.7,34816.7,10
2023-09-05 00:25:00,2023-09-04T23:25:00,34818.2,34818.2,34818.7,34817.2,12
2023-09-05 00:30:00,2023-09-04T23:30:00,34817.7,34826.2,34827.2,34817.2,62
2023-09-05 00:35:00,2023-09-04T23:35:00,34825.7,34825.2,34826.7,34823.2,20
2023-09-05 00:40:00,2023-09-04T23:40:00,34825.7,34827.2,34827.7,34825.2,18
2023-09-05 00:45:00,2023-09-04T23:45:00,34826.7,34825.7,34827.7,34825.2,22
2023-09-05 00:50:00,2023-09-04T23:50:00,34825.2,34825.2,34827.2,34824.2,32
2023-09-05 00:55:00,2023-09-04T23:55:00,34825.7,34821.2,34825.7,34821.2,37
2023-09-05 01:00:00,2023-09-05T00:00:00,34820.7,34828.2,34828.2,34817.7,85
2023-09-05 01:05:00,2023-09-05T00:05:00,34827.7,34811.2,34827.7,34807.2,110
2023-09-05 01:10:00,2023-09-05T00:10:00,34810.7,34805.2,34814.2,34803.2,66
2023-09-05 01:15:00,2023-09-05T00:15:00,34804.7,34801.7,34807.2,34801.2,94
2023-09-05 01:20:00,2023-09-05T00:20:00,34802.2,34793.7,34804.2,34792.2,88
2023-09-05 01:25:00,2023-09-05T00:25:00,34794.2,34797.2,34798.2,34791.7,72
2023-09-05 01:30:00,2023-09-05T00:30:00,34796.7,34797.2,34799.7,34796.2,48
2023-09-05 01:35:00,2023-09-05T00:35:00,34796.7,34798.2,34800.7,34796.2,34
2023-09-05 01:40:00,2023-09-05T00:40:00,34798.7,34789.2,34799.2,34788.2,78
2023-09-05 01:45:00,2023-09-05T00:45:00,34788.7,34792.7,34794.2,34787.2,64
2023-09-05 01:50:00,2023-09-05T00:50:00,34792.2,34788.2,34793.2,34784.2,77
2023-09-05 01:55:00,2023-09-05T00:55:00,34788.7,34786.7,34790.7,34786.2,25
2023-09-05 02:00:00,2023-09-05T01:00:00,34787.2,34790.2,34793.7,34786.7,48
2023-09-05 02:05:00,2023-09-05T01:05:00,34790.7,34790.2,34791.2,34786.7,25
2023-09-05 02:10:00,2023-09-05T01:10:00,34790.7,34791.7,34793.7,34790.7,15
2023-09-05 02:15:00,2023-09-05T01:15:00,34791.2,34790.2,34791.7,34783.7,62
2023-09-05 02:20:00,2023-09-05T01:20:00,34790.7,34799.7,34799.7,34790.2,91
2023-09-05 02:25:00,2023-09-05T01:25:00,34799.2,34809.7,34809.7,34796.7,108
2023-09-05 02:30:00,2023-09-05T01:30:00,34810.2,34811.2,34812.7,34806.7,90
2023-09-05 02:35:00,2023-09-05T01:35:00,34810.7,34802.7,34811.2,34796.7,99
2023-09-05 02:40:00,2023-09-05T01:40:00,34803.2,34804.2,34809.7,34801.2,53
2023-09-05 02:45:00,2023-09-05T01:45:00,34803.7,34795.7,34804.2,34794.7,64
